🏵港澳台,#genre#
翡翠台,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhNLU7D5N_mYnzSwyd8g7-E8/ts
明珠台,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhLUbzYKnEr1BV06WNuO2Pt4/ts
无线新闻,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhFltGrXywBBRW-bF83UGcHo/ts
有线新闻,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhJEUn-Cbjxb-tGm2mFU-KWw/ts
NOW新闻,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhNKkdDHaVGuUp4a4zyFn9HI/ts
Viutv,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhGr0CS96DUBJa525Cc1wTUk/ts
Viutv 6,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhNaH1YPdBc_Giiews1tlEF8/ts
无线财经体育资讯台,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhAxA4QNj72qBWcUnKzI7MJ0/ts
有线财经,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhMnkAMkKUeIV2YcD5p4YLJg/ts
J 2,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhOVp-jMSgoqp_VbJO1YN-lk/ts
Super 18,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhHKvE74rIC5uId_njEfZEwo/ts
有线603,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhLEW0yvkdfaIsHRN-IuuogU/ts
有线18台,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhMdfLl-r9qAm8VVoOQNBif4/ts
有线体育,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhP1DFxDiq0TTNdAoPAFnQw0/ts
港台31,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhEboElFuq4Qxtpi8z9luIJs/ts
港台32,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhDc53wgtISuGYEOUSFX80QU/ts
华丽台,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhBlAIgL2-4cU5zOScFasXf8/ts
凤凰香港,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhCXMTUlVQ7ELz79-Yl_nbJQ/ts
凤凰卫视,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhOcea2O0fdUjNig3ltBIPMw/ts
凤凰资讯,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhPAd9ebSyF7oc12tfpU0Xm0/ts
澳视澳门,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhGqa99tzVyNM-gljdQzDaeY/ts
澳门资讯,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhN2czjN7hmrtwhPHyjiHHqI/ts
澳視葡語,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhMTPEFJUZezhZYFh-6-ylY8/ts
澳門Macau,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhCHlaBwToMiCvt-E2ZyYkYI/ts
开电视,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhKyj6KdUAN4UjTtamQEWouM/ts
澳视卫星,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhJsGruHkV_9IBvIr4auhlRA/ts
澳视体育,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhARQl0SoEMHZZ3Nlhna0X5E/ts
有线603,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhAdM4Khj_gcRDO8LLLmhoQg/ts
有线电影,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhBGvWoUpkUJUeRkYtCWnVgg/ts
有线综合娱乐,http://hs.nowtv.lol:80/play/6uBoQI2qNo_pHGAdYc8QhG0nM2FWYB641SrsnqFeB1M/ts
